City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Batemans Bay,AU,-35.7167,150.1833,57.22,86,100,2.48,overcast clouds
80,Atarra,IN,25.2833,80.5667,60.8,37,5,1.43,clear sky
81,Nur,PL,52.6683,22.3221,34.27,91,100,11.41,overcast clouds
82,Atuona,PF,-9.8,-139.0333,77.72,81,62,21.52,broken clouds
83,Chuy,UY,-33.6971,-53.4616,76.75,53,1,14.58,clear sky
84,Yellowknife,CA,62.456,-114.3525,-30.44,66,100,5.01,overcast clouds
85,Evensk,RU,61.95,159.2333,30.47,83,100,34.65,overcast clouds
86,Castro,BR,-24.7911,-50.0119,71.33,67,97,4.7,overcast clouds
87,Northam,GB,51.0333,-4.2167,50.25,88,100,13.62,overcast clouds
88,Victoria,HK,22.2855,114.1577,65.25,72,100,5.01,overcast clouds
89,Salalah,OM,17.0151,54.0924,76.5,34,0,11.3,clear sky
90,Qaanaaq,GL,77.484,-69.3632,-15.05,69,8,7.52,clear sky
91,Fukue,JP,32.6881,128.8419,53.44,65,92,15.32,overcast clouds
92,Novaya Lyada,RU,52.7131,41.6387,25.95,67,100,12.15,overcast clouds
93,San-Pedro,CI,4.7485,-6.6363,83.77,69,20,10.58,few clouds
94,Lethem,GY,3.3803,-59.7968,86.49,56,90,10.33,overcast clouds
95,Tari,NG,12.4086,4.4914,90.21,9,81,11.81,broken clouds
96,Dicabisagan,PH,17.0818,122.4157,75.9,90,99,6.33,overcast clouds
97,Fare,PF,-16.7,-151.0167,79.97,75,55,15.48,broken clouds
98,Mingshui,CN,36.7167,117.5,31.84,47,0,3.51,clear sky
99,Orange,US,33.7,-117.7675,55.89,43,75,0.0,broken clouds
100,Collie,AU,-33.3667,116.15,66.29,55,45,9.22,scattered clouds
101,Korhogo,CI,9.45,-5.6333,91.53,10,100,7.76,overcast clouds
102,Tete,MZ,-16.1564,33.5867,76.19,88,100,2.51,overcast clouds
103,Florence,IT,43.7667,11.25,58.68,84,75,4.0,broken clouds
104,Tanete,ID,-3.9443,119.7848,75.09,90,95,2.28,overcast clouds
105,Alofi,NU,-19.0595,-169.9187,78.96,77,0,9.26,light rain
106,Shimoda,JP,34.6667,138.95,41.11,66,4,3.13,clear sky
107,Santa Ana,US,33.7456,-117.8678,56.1,28,100,1.41,overcast clouds
108,Casper,US,42.8666,-106.3131,25.72,63,100,8.01,overcast clouds
109,Fergus Falls,US,46.283,-96.0776,-10.14,78,0,4.61,clear sky
110,Asfi,MA,32.2994,-9.2372,67.98,53,100,4.9,overcast clouds
111,Saldanha,ZA,-33.0117,17.9442,65.55,71,3,27.42,clear sky
112,Palm Coast,US,29.585,-81.2078,67.01,90,75,4.0,broken clouds
113,Huarmey,PE,-10.0681,-78.1522,73.96,75,45,7.11,scattered clouds
114,Roald,NO,62.5833,6.1333,46.33,70,20,8.05,few clouds
115,Ostrovnoy,RU,68.0531,39.5131,12.22,92,97,12.33,overcast clouds
116,Minab,IR,27.1467,57.0801,71.62,26,0,15.7,clear sky
117,Nyurba,RU,63.2842,118.3319,-42.54,100,58,2.19,broken clouds
118,Sungairaya,ID,0.7,108.9,78.6,86,85,4.36,light rain
119,Mocorito,MX,25.4833,-107.9167,61.77,50,94,2.37,overcast clouds
120,Barrow,US,71.2906,-156.7887,6.82,78,100,12.66,overcast clouds
121,Pontes E Lacerda,BR,-15.2261,-59.3353,76.57,88,99,7.05,overcast clouds
122,Honiara,SB,-9.4333,159.95,77.5,88,44,5.21,scattered clouds
123,Kodiak,US,57.79,-152.4072,25.54,87,38,7.76,scattered clouds
124,Itarema,BR,-2.9248,-39.9167,88.48,51,98,14.92,overcast clouds
125,Peruibe,BR,-24.32,-46.9983,74.35,92,90,9.37,overcast clouds
126,Fortuna,US,40.5982,-124.1573,46.92,90,100,14.97,light rain
127,Asilah,MA,35.465,-6.0348,71.56,68,94,11.16,overcast clouds
128,Ambilobe,MG,-13.2,49.05,77.38,84,43,4.38,light rain
129,Lebu,CL,-37.6167,-73.65,64.96,66,99,13.47,overcast clouds
130,Ponta Do Sol,PT,32.6667,-17.1,75.0,77,48,4.79,scattered clouds
